size,epoch,w1_ideal_target,w1_ideal_concurrent,w1_concurrent_target,error,diff
2,1.0e-10,4.643999999999847,0.0,4.643999999999847,0.0024300780296688594,1.8972180798432304e-5
2,1.266380173467402e-10,4.655999999999857,0.0,4.655999999999857,0.003472416487522383,3.4165745757528216e-5
2,1.6037187437513276e-10,4.676999999999839,0.0,4.676999999999839,0.0046650050458082164,5.891854550680407e-5
2,2.030917620904739e-10,4.670333333333184,0.0,4.670333333333184,0.006628346237667594,0.00010841750123844654
2,2.571913809059347e-10,4.658333333333177,0.0,4.658333333333177,0.009272837151202357,0.00019002525654443513
2,3.257020655659783e-10,4.648333333333166,0.0,4.648333333333166,0.01300072517730376,0.0003386914176835158
2,4.124626382901348e-10,4.630999999999846,0.0,4.630999999999846,0.01862396287750923,0.0006253917157773402
2,5.223345074266832e-10,4.655999999999854,0.0,4.655999999999854,0.0251898577389754,0.0010744851426978757
2,6.614740641230159e-10,4.636999999999843,0.0,4.636999999999843,0.035078690474771815,0.0019148096406977958
2,8.376776400682924e-10,4.642666666666516,0.0,4.642666666666516,0.04763730857780765,0.003317726396507649
2,1.0608183551394483e-9,4.625333333333184,0.0,4.625333333333184,0.065619961682657,0.005848345697436589
2,1.3433993325988988e-9,4.675333333333182,0.0006666666666666666,4.675333333333191,0.09412548926733506,0.010718818267093679
2,1.7012542798525856e-9,4.642333333333181,0.012333333333333328,4.63266666666652,0.1255305615588972,0.018379901047366327
2,2.1544346900318866e-9,4.639333333333177,0.05466666666666661,4.606666666666504,0.1714213203041643,0.03189144592027719
2,2.7283333764867695e-9,4.468999999999838,0.1496666666666667,4.393999999999847,0.2488626767852026,0.05843985120997227
2,3.4551072945922183e-9,4.333999999999858,0.28966666666666696,4.229666666666553,0.35426475370657257,0.10815053329166585
2,4.37547937507418e-9,3.910333333333228,0.3790000000000014,3.814666666666587,0.521393750309637,0.19813614481099387
2,5.54102033000948e-9,3.5903333333332563,0.3766666666666685,3.6076666666666,0.7884903900679442,0.3898473363954754
2,7.017038286703837e-9,3.1339999999999573,0.4903333333333353,3.400999999999943,1.1922288152010365,0.7464508019249309
2,8.886238162743407e-9,2.8006666666666407,0.7440000000000031,3.3706666666666183,1.7602929480891167,1.455826664563931
2,1.1253355826007646e-8,2.309333333333327,1.1463333333333288,3.2823333333332805,2.62947708744988,2.930927064066942
2,1.4251026703029992e-8,1.8173333333333312,1.599999999999979,3.2479999999999607,3.761663933696909,5.459336936425411
2,1.8047217668271702e-8,1.4039999999999981,2.0713333333333392,3.311999999999962,5.234847097714099,9.908360471181908
2,2.2854638641349884e-8,1.0916666666666657,2.397666666666683,3.2766666666666295,6.8011989643092265,16.406871340213925
2,2.8942661247167517e-8,0.9210000000000009,2.683666666666679,3.3573333333332953,8.921072168221837,26.940379537182107
2,3.665241237079626e-8,0.7303333333333332,2.937666666666693,3.421333333333285,11.755118147719964,40.16495912975943
2,4.641588833612782e-8,0.6583333333333339,3.0403333333333573,3.4313333333332903,14.534231342517257,58.80630271550473
2,5.878016072274912e-8,0.5960000000000005,3.1206666666666867,3.4519999999999484,18.46205677049693,84.93918219938877
2,7.443803013251681e-8,0.4766666666666669,3.202666666666694,3.4886666666666337,22.873119862132597,119.40417445143927
2,9.426684551178854e-8,0.45199999999999957,3.2790000000000132,3.532333333333284,28.129158085513783,167.8442004725018
2,1.1937766417144357e-7,0.3519999999999992,3.3420000000000303,3.5739999999999505,34.98462936838153,223.06377144321294
2,1.5117750706156632e-7,0.2899999999999997,3.3683333333333745,3.5723333333332814,44.28394485749165,303.1519352268887
2,1.9144819761699575e-7,0.20599999999999993,3.427000000000025,3.5723333333332805,55.13377525250123,416.7549013662439
2,2.424462017082331e-7,0.15999999999999995,3.390666666666708,3.5046666666666195,70.83260340160815,542.8230183001848
2,3.07029062975785e-7,0.07,3.5136666666666887,3.5703333333332794,87.53303982091334,711.5165550093851
2,3.8881551803080855e-7,0.10399999999999962,3.5556666666666925,3.589666666666622,109.144535198413,945.5492437431019
2,4.923882631706742e-7,0.14399999999999658,3.4613333333333545,3.477333333333287,141.9841432655049,1228.732544503593
2,6.235507341273912e-7,0.009999999999998906,3.530000000000031,3.5359999999999494,174.12763785785415,1587.4089178859158
2,7.896522868499733e-7,0.047999999999998266,3.6056666666666928,3.6096666666666164,219.6976659589302,2098.385609802849
2,1.0e-6,0.031999999999998474,3.4713333333333583,3.4713333333332916,284.4525704488567,2687.7461513336693
3,1.0e-10,4.6433333333331746,0.0,4.6433333333331746,0.0014436956953899867,1.1374937471453903e-5
3,1.266380173467402e-10,4.649333333333182,0.0,4.649333333333182,0.0020294565535168654,2.0627144852177383e-5
3,1.6037187437513276e-10,4.618333333333185,0.0,4.618333333333185,0.0028458675742081105,3.701416734741349e-5
3,2.030917620904739e-10,4.640666666666526,0.0,4.640666666666526,0.00405040629807885,6.784262355679239e-5
3,2.571913809059347e-10,4.633666666666519,0.0,4.633666666666519,0.005539437236728309,0.00011672489093956529
3,3.257020655659783e-10,4.644999999999853,0.0,4.644999999999853,0.00772369305682357,0.00020748328298111782
3,4.124626382901348e-10,4.6579999999998485,0.0,4.6579999999998485,0.01067143971076555,0.0003623113413602817
3,5.223345074266832e-10,4.655333333333185,0.0,4.655333333333185,0.01525802783865055,0.0006666442971157882
3,6.614740641230159e-10,4.6353333333331905,0.0,4.6353333333331905,0.020742890482373023,0.0011649475572263627
3,8.376776400682924e-10,4.67433333333318,0.0,4.67433333333318,0.028017850870086312,0.002014944488123377
