graph,tpart,blocks,tstop,job,scale0,scale1,iter,concurrent,flips,updates,neighbor_updates,cut,ene,anneal,u,m,nodes,edges,BKS,Ratio,bits,GS,target,factor,TTT,BTT,GInd,Type
G028,4.911145006735545e-09,4,4e-05,2460.5,3.0,0.8,19.5,0.0,2834868.0,3844653.153846154,201941.33333333334,3268.5128205128203,-6641.025641025641,4.00006e-05,0.0,0.0,2000.0,19990.0,3298.0,0.991059072320443,16289480.333055016,0.975,0.98,1.24839270116357,4.9935708046542806e-05,,28,ER
G029,7.0644359863032585e-09,4,4e-05,2260.5,3.0,0.8,19.5,0.0,3266801.05,3256513.225,171969.1,3369.625,-6659.25,4.00033e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9896108663729809,11324329.381015897,0.975,0.98,1.24839270116357,4.9935708046542806e-05,,29,ER
G029,3.4141926296659515e-09,4,6e-05,12340.5,3.0,0.8,19.5,0.0,3435774.4,6197258.225,326099.0,3366.825,-6653.65,6.00017e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9887885462555067,35147401.74802057,1.0,0.98,1.0,6e-05,,29,ER
G029,1.0161837155313268e-08,8,6e-05,16420.5,3.0,0.8,19.5,0.0,2640896.475,1880363.0,99594.175,3359.4,-6638.8,6.000829999999999e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9866079295154184,11808888.310836216,1.0,0.98,1.0,6e-05,,29,ER
G027,4.911145006735545e-09,8,6e-05,16820.5,3.0,0.8,19.5,0.0,2083679.75,2801855.6,147920.35,3301.825,-6645.65,6.00033e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9882744687219395,24434220.49958252,1.0,0.98,1.0,6e-05,,27,ER
G027,2.373522120906291e-09,4,6e-05,12500.5,3.0,0.8,19.5,0.0,2511075.45,6047693.95,317631.4,3299.075,-6640.15,6.0001100000000004e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9874513618677042,50557776.11804179,1.0,0.98,1.0,6e-05,,27,ER
G028,1.0161837155313268e-08,8,6e-05,16380.5,3.0,0.8,19.5,0.0,2637646.9,1884228.825,99314.9,3265.225,-6634.45,6.000829999999999e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9900621588841723,11808888.310836216,1.0,0.98,1.0,6e-05,,28,ER
G028,3.0245198666839334e-08,4,6e-05,10860.5,3.0,0.8,19.5,0.0,6188068.425,1523219.275,80220.925,3265.175,-6634.35,6.0015999999999996e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9900469981807156,3967571.888743033,1.0,0.98,1.0,6e-05,,28,ER
G028,2.373522120906291e-09,4,6e-05,12540.5,3.0,0.8,19.5,0.0,2509505.95,6065704.475,317239.5,3259.875,-6623.75,6.0001100000000004e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9884399636143117,50557776.11804179,1.0,0.98,1.0,6e-05,,28,ER
G028,2.102624423214588e-08,8,6e-05,15900.5,3.0,0.8,19.5,0.0,2964892.325,1037178.075,54655.425,3257.225,-6618.45,6.00043e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9876364463311098,5707153.340135682,0.975,0.98,1.24839270116357,7.49035620698142e-05,,28,ER
G028,1.4617293520857793e-08,8,6e-05,16140.5,3.0,0.8,19.5,0.0,2824126.794871795,1420992.3846153845,74887.05128205128,3264.74358974359,-6633.48717948718,6.00123e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9899161885214038,8209454.08455874,0.975,0.98,1.24839270116357,7.49035620698142e-05,,28,ER
G027,7.0644359863032585e-09,8,6e-05,16580.5,3.0,0.8,19.5,0.0,2404101.0512820515,2376058.4102564105,125726.28205128205,3304.5641025641025,-6651.128205128205,6.0001500000000005e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9890943138473818,16986494.071523845,0.975,0.98,1.24839270116357,7.49035620698142e-05,,27,ER
G027,1.0161837155313268e-08,8,6e-05,16340.5,3.0,0.8,19.5,0.0,2643721.3,1881143.8,99627.85,3301.725,-6645.45,6.000829999999999e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9882445375636036,11808888.310836216,0.975,0.98,1.24839270116357,7.49035620698142e-05,,27,ER
G028,3.4141926296659515e-09,8,6e-05,17100.5,3.0,0.8,19.5,0.0,1690993.0,3053598.3333333335,160133.66666666666,3259.948717948718,-6623.897435897436,6.0001700000000005e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9884623159335106,35147401.74802057,0.975,0.98,1.24839270116357,7.49035620698142e-05,,28,ER
G029,2.373522120906291e-09,4,8e-05,22180.5,3.0,0.8,19.5,0.0,3334766.025,8032825.3,421482.475,3364.25,-6648.5,8.00023e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9880323054331864,67410368.15738906,1.0,0.98,1.0,8e-05,,29,ER
G027,3.4141926296659515e-09,8,8e-05,26660.5,3.0,0.8,19.5,0.0,2247584.425,4038398.9,212850.825,3303.275,-6648.55,8.00034e-05,0.0,0.0,2000.0,19990.0,3341.0,0.988708470517809,46863202.33069409,1.0,0.98,1.0,8e-05,,27,ER
G027,2.102624423214588e-08,8,8e-05,25460.5,3.0,0.8,19.5,0.0,3935003.275,1367134.675,72516.425,3302.1,-6646.2,8.00057e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9883567794073631,7609537.786847578,1.0,0.98,1.0,8e-05,,27,ER
G027,1.4617293520857793e-08,8,8e-05,25700.5,3.0,0.8,19.5,0.0,3748698.3,1872260.825,99321.9,3306.4,-6654.8,8.00115e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9896438192158037,10945938.779411653,1.0,0.98,1.0,8e-05,,27,ER
G029,7.0644359863032585e-09,8,8e-05,26260.5,3.0,0.8,19.5,0.0,3179260.45,3137156.675,165897.55,3368.975,-6657.95,8.00067e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9894199706314243,22648658.762031794,1.0,0.98,1.0,8e-05,,29,ER
G028,4.350620264355322e-08,4,8e-05,20220.5,3.0,0.8,19.5,0.0,8429928.3,1429020.35,75301.15,3266.2,-6636.4,8.00259e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9903577926015767,3677636.527161006,1.0,0.98,1.0,8e-05,,28,ER
G029,3.0245198666839334e-08,4,8e-05,20500.5,3.0,0.8,19.5,0.0,8220879.275,2014395.6,106698.725,3366.45,-6652.9,8.00112e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9886784140969163,5290095.851657378,1.0,0.98,1.0,8e-05,,29,ER
G029,2.102624423214588e-08,8,6e-05,15940.5,3.0,0.8,19.5,0.0,2967239.525,1033207.825,54724.175,3355.175,-6630.35,6.00043e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9853671071953011,5707153.340135682,0.95,0.98,1.5372435736804821,9.223461442082894e-05,,29,ER
G029,4.350620264355322e-08,4,6e-05,10660.5,3.0,0.8,19.5,0.0,6381113.45,1084057.6,57397.9,3355.95,-6631.9,6.00086e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9855947136563877,2758227.395370754,0.95,0.98,1.5372435736804821,9.223461442082894e-05,,29,ER
G029,1.4617293520857793e-08,8,6e-05,16180.5,3.0,0.8,19.5,0.0,2825361.3,1417295.85,75075.55,3359.35,-6638.7,6.00123e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9865932452276065,8209454.08455874,0.95,0.98,1.5372435736804821,9.223461442082894e-05,,29,ER
G029,4.911145006735545e-09,8,4e-05,7300.5,3.0,0.8,19.5,0.0,1396271.7,1882391.875,99249.6,3352.125,-6624.25,4.00006e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9844713656387665,16289480.333055016,0.85,0.98,2.4274533095834263,9.709813238333706e-05,,29,ER
G028,3.0245198666839334e-08,8,8e-05,25260.5,3.0,0.8,19.5,0.0,4074940.95,982149.325,51783.05,3260.875,-6625.75,8.00112e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9887431776834446,5290095.851657378,0.975,0.98,1.24839270116357,9.987141609308561e-05,,28,ER
G039,1.0161837155313268e-08,4,8e-05,21260.5,3.0,0.8,19.5,0.0,11905484.525,4276981.575,485035.525,2372.325,-4716.65,8.00008e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9851848006644518,15745184.414448291,0.975,0.98,1.24839270116357,9.987141609308561e-05,,39,BA
G027,4.350620264355322e-08,4,8e-05,20180.5,3.0,0.8,19.5,0.0,8437190.225,1426642.425,75636.475,3304.4,-6650.8,8.00259e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9890451960490871,3677636.527161006,0.975,0.98,1.24839270116357,9.987141609308561e-05,,27,ER
G029,3.4141926296659515e-09,8,0.0001,36340.5,3.0,0.8,19.5,0.0,2802008.725,5037690.35,265258.675,3361.65,-6643.3,0.000100002,0.0,0.0,2000.0,19990.0,3405.0,0.9872687224669603,58579002.913367614,1.0,0.98,1.0,0.0001,,29,ER
G028,6.258149233243955e-08,4,6e-05,10380.5,3.0,0.8,19.5,0.0,6521388.4,770156.2,40500.8,3250.85,-6605.7,6.00238e-05,0.0,0.0,2000.0,19990.0,3298.0,0.985703456640388,1917499.8154813442,0.9,0.98,2.0,0.00012,,28,ER
G029,6.258149233243955e-08,4,8e-05,20020.5,3.0,0.8,19.5,0.0,8631844.25,1013338.65,53616.65,3355.3,-6630.6,8.00526e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9854038179148311,2556666.420641792,0.95,0.98,1.5372435736804821,0.0001229794858944386,,29,ER
G039,7.0644359863032585e-09,4,4e-05,2300.5,3.0,0.8,19.5,0.0,5377232.948717949,2659668.1794871795,300204.3333333333,2365.846153846154,-4703.692307692308,4.00033e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9824942499361103,11324329.381015897,0.775,0.98,3.087289330583098,0.00012349157322332394,,39,BA
G027,6.258149233243955e-08,4,6e-05,10340.5,3.0,0.8,19.5,0.0,6538246.475,771323.6,40799.425,3287.925,-6617.85,6.00238e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9841140377132594,1917499.8154813442,0.875,0.98,2.2146187299249083,0.0001328771237954945,,27,ER
G039,2.102624423214588e-08,4,4e-05,1580.5,3.0,0.8,19.5,0.0,6737120.666666667,1205086.0256410257,136838.0,2364.025641025641,-4700.051282051282,4.00029e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9817382230172927,3804768.893423789,0.725,0.98,3.567177857512734,0.0001426871143005094,,39,BA
G029,2.373522120906291e-09,8,0.0001,36580.5,3.0,0.8,19.5,0.0,2045111.25,4913960.375,258086.2,3354.275,-6628.55,0.000100001,0.0,0.0,2000.0,19990.0,3405.0,0.9851027900146843,84262960.19673632,0.95,0.98,1.5372435736804821,0.00015372435736804823,,29,ER
G028,2.373522120906291e-09,8,0.0001,36540.5,3.0,0.8,19.5,0.0,2046371.35,4932669.65,258121.9,3257.6,-6619.2,0.000100001,0.0,0.0,2000.0,19990.0,3298.0,0.9877501516070346,84262960.19673632,0.95,0.98,1.5372435736804821,0.00015372435736804823,,28,ER
