graph,blocks,epoch,bandwidth,solver,cut,bits
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11620.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11586.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11599.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11578.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11602.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11606.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11623.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11618.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11583.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11587.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11571.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11543.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11515.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11546.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11547.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11560.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11564.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11555.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11556.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11568.0,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11585.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11589.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11562.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11605.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11572.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11581.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11573.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11575.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11550.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11577.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9755.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9867.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9823.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9879.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,10020.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9958.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9920.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9877.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9863.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,9773.0,1
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11579.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11604.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11597.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11563.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11587.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11601.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11576.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11551.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11580.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,brim,11572.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11564.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11597.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11604.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11571.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11551.0,2
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11621.0,2
