job,iter,tstop,size,graph_class,schedule,tpart,graph,get_averages,burn_in,samples,fixed-temp,scale0,concurrent,flips,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm
29,28,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
30,29,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
31,30,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5150.0,11093.0,-22335.0,1e-05,-22.3045,-0.0213633,4995.0,844.0,27354.6
32,31,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,8109.0,11210.0,-22569.0,1e-05,-22.4535,0.0627154,4995.0,965.0,40217.9
33,32,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,7921.0,11159.0,-22467.0,1e-05,-22.424,-0.0684569,4995.0,991.0,40963.0
34,33,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4535.0,10842.0,-21833.0,1e-05,-21.8017,-0.0236397,4995.0,820.0,22814.8
35,34,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
36,35,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,3025.0,11160.0,-22469.0,1e-05,-22.4419,-0.0316781,4995.0,680.0,14598.0
37,36,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,4699.0,10918.0,-21985.0,1e-05,-21.934,0.0217437,4995.0,760.0,24693.9
38,37,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,5849.0,11217.0,-22583.0,1e-05,-22.2931,0.0220326,4995.0,898.0,31053.8
39,38,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,7123.0,10926.0,-22001.0,1e-05,-21.9793,0.028618,4995.0,977.0,36629.1
40,39,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_1_outer.gset,True,5000,50000,True,1.0,True,3929.0,10693.0,-21535.0,1e-05,-21.5253,-0.0140777,4995.0,767.0,18031.3
41,0,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7446.0,30452.0,-59136.0,1e-05,-58.8679,0.0167663,4995.0,1340.0,35768.3
42,1,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6207.0,29359.0,-56950.0,1e-05,-56.8521,0.0314609,4995.0,1539.0,28446.7
43,2,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6872.0,29899.0,-58030.0,1e-05,-57.4542,0.00841151,4995.0,1067.0,33423.1
44,3,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,5338.0,30383.0,-58998.0,1e-05,-58.9403,-0.0143866,4995.0,1265.0,24714.1
45,4,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7964.0,30293.0,-58818.0,1e-05,-58.7378,0.0531731,4995.0,1461.0,41991.7
46,5,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
47,6,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7798.0,30242.0,-58716.0,1e-05,-58.5668,0.00629372,4995.0,1469.0,39682.1
48,7,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,10233.0,29545.0,-57322.0,1e-05,-57.2062,0.0504495,4995.0,1610.0,50202.9
49,8,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,8524.0,30055.0,-58342.0,1e-05,-58.0679,0.00658118,4995.0,1623.0,43452.7
50,9,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,5219.0,29486.0,-57204.0,1e-05,-57.1231,-0.0336506,4995.0,1242.0,23932.8
51,10,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
52,11,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
53,12,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
54,13,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7192.0,30217.0,-58666.0,1e-05,-58.5839,-0.0085652,4995.0,1433.0,34273.5
55,14,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
56,15,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
57,16,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,8317.0,29595.0,-57422.0,1e-05,-57.3616,-0.0295364,4995.0,1276.0,42888.0
58,17,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
59,18,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7152.0,30533.0,-59298.0,1e-05,-59.2468,-0.0394406,4995.0,1048.0,34020.5
60,19,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,5807.0,30652.0,-59536.0,1e-05,-59.4748,-0.0240776,4995.0,1114.0,27805.8
61,20,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,4593.0,30483.0,-59198.0,1e-05,-59.1044,0.00625247,4995.0,1283.0,19279.0
62,21,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
63,22,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,10344.0,30313.0,-58858.0,1e-05,-58.2068,-0.0268913,4995.0,1775.0,51262.3
64,23,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7325.0,30199.0,-58630.0,1e-05,-58.5701,0.0222063,4995.0,1259.0,36298.4
65,24,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,11144.0,30609.0,-59450.0,1e-05,-59.1675,0.0254006,4995.0,1713.0,57688.2
66,25,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
67,26,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
68,27,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
69,28,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6441.0,30462.0,-59156.0,1e-05,-59.0879,-0.0212226,4995.0,1346.0,30720.4
70,29,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,7679.0,29896.0,-58024.0,1e-05,-57.9838,-0.0258851,4995.0,1129.0,37535.6
71,30,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6698.0,29951.0,-58134.0,1e-05,-58.0607,0.0153041,4995.0,1503.0,33699.3
72,31,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6257.0,30140.0,-58512.0,1e-05,-58.2536,0.0052304,4995.0,1453.0,31587.7
73,32,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,8313.0,29463.0,-57158.0,1e-05,-57.1047,0.0158826,4995.0,1474.0,42110.0
74,33,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
75,34,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6959.0,30592.0,-59416.0,1e-05,-59.2603,0.0260986,4995.0,1521.0,36620.7
76,35,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,10371.0,30236.0,-58704.0,1e-05,-58.6411,-0.0277669,4995.0,1582.0,51759.8
77,36,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
78,37,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,4774.0,29382.0,-56996.0,1e-05,-56.9306,-0.0204979,4995.0,1486.0,20371.7
79,38,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,5658.0,30873.0,-59978.0,1e-05,-59.8146,-0.0459109,4995.0,1399.0,27069.6
80,39,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_3_outer.gset,True,5000,50000,True,1.0,True,6504.0,29194.0,-56620.0,1e-05,-56.58,0.0244142,4995.0,1186.0,31552.4
81,0,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7520.0,48972.0,-95367.0,1e-05,-95.2379,0.0203246,4995.0,1562.0,33774.8
82,1,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
83,2,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
84,3,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,9018.0,50087.0,-97597.0,1e-05,-97.249,0.0122661,4995.0,1551.0,47373.0
85,4,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6230.0,48683.0,-94789.0,1e-05,-94.5567,-0.0171781,4995.0,1797.0,29345.7
86,5,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,4872.0,48423.0,-94269.0,1e-05,-94.2044,0.0357778,4995.0,1160.0,21781.6
87,6,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7409.0,49511.0,-96445.0,1e-05,-95.7769,-0.0272152,4995.0,1526.0,35161.0
88,7,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,5586.0,48572.0,-94567.0,1e-05,-94.414,0.0431562,4995.0,1589.0,26033.6
89,8,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
90,9,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,9498.0,49195.0,-95813.0,1e-05,-95.6735,0.0210256,4995.0,1474.0,48529.5
91,10,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6064.0,49675.0,-96773.0,1e-05,-96.6498,-0.0253492,4995.0,1257.0,28623.7
