graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G027,8,ER,1.4617293520857793e-08,True,11299.5,11300.5,19.5,0.8,2e-05,3.0,5597034.575,,,2396.7,-4835.4,2e-05,,,1367.0,474284.35,30872324.5,2.2e-11,2000.0,19990.0,3341.0,0.71736007183478,27.0,0.28263992816522,2736484.6948529133,0.075,0.98,59.06976823665304,0.0011813953647330608,161643516.7081098,True
G029,8,ER,1.4617293520857793e-08,True,11379.5,11380.5,19.5,0.8,2e-05,3.0,5661705.675,,,2432.0,-4784.0,2e-05,,,1367.0,486970.125,31725774.25,2.2e-11,2000.0,19990.0,3405.0,0.7142437591776798,29.0,0.2857562408223201,2736484.6948529133,0.075,0.98,59.06976823665304,0.0011813953647330608,161643516.7081098,True
G028,4,ER,1.650055480022138e-09,False,7979.5,7980.5,19.5,0.8,2e-05,3.0,551561.35,1762039.75,91735.55,3204.75,-6513.5,2.00005e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.9717252880533657,28.0,0.028274711946634334,24241609.13635664,0.075,0.98,59.06976823665304,0.001181424899617179,1431946233.3681176,True
G027,8,ER,2.373522120906291e-09,False,17299.5,17300.5,19.5,0.8,2e-05,3.0,422825.425,1022729.0,53628.575,3236.775,-6515.55,2.00012e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9688042502244837,27.0,0.031195749775516313,16852592.039347265,0.075,0.98,59.06976823665304,0.001181466248454945,995478705.9511069,True
G028,8,ER,2.373522120906291e-09,False,17339.5,17340.5,19.5,0.8,2e-05,3.0,422682.725,1026150.575,53562.375,3203.525,-6511.05,2.00012e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.971353850818678,28.0,0.028646149181322023,16852592.039347265,0.075,0.98,59.06976823665304,0.001181466248454945,995478705.9511069,True
G041,4,BA,2.102624423214588e-08,False,6459.5,6460.5,19.5,0.8,2e-05,3.0,3373362.7,610077.525,68551.35,2340.825,-4698.65,2.00014e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9733160083160083,41.0,0.02668399168399166,1902384.4467118946,0.075,0.98,59.06976823665304,0.001181478062408592,112373408.36428504,True
G041,8,BA,1.0161837155313268e-08,False,16539.5,16540.5,19.5,0.8,2e-05,3.0,1477421.525,531111.4,59926.675,2328.25,-4673.5,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9680873180873182,41.0,0.03191268191268189,3936296.1036120728,0.075,0.98,59.06976823665304,0.0011815607600841236,232516098.55120555,True
G041,4,BA,4.911145006735545e-09,False,7419.5,7420.5,19.5,0.8,2e-05,3.0,2293592.2,1541160.575,171838.7,2337.675,-4692.35,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.972006237006237,41.0,0.027993762993762966,8144740.166527508,0.075,0.98,59.06976823665304,0.0011815607600841236,481107913.9845388,True
G027,4,ER,6.258149233243954e-08,False,5539.5,5540.5,19.5,0.8,2e-05,3.0,2317642.525,283855.675,14924.475,3249.55,-6541.1,2.00288e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9726279557018855,27.0,0.02737204429811435,639166.6051604482,0.075,0.98,59.06976823665304,0.0011830965740582764,37755423.231436,True
G041,4,BA,6.258149233243954e-08,False,5739.5,5740.5,19.5,0.8,2e-05,3.0,3713154.025,227516.125,25232.725,2317.275,-4651.55,2.00288e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9635239085239086,41.0,0.03647609147609145,639166.6051604482,0.075,0.98,59.06976823665304,0.0011830965740582764,37755423.231436,True
