graph,blocks,epoch,bandwidth,solver,cut,k,bits
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,972.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,969.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,987.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,977.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,966.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,987.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,971.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,985.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,984.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,984.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,986.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,970.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,988.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,975.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,975.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,977.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,977.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,985.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,977.0,10,0
/home/matt/Documents/bench/GSET/set/G018,1,1.4408082979315253,16.68100537200059,kuramoto,980.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,776.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,768.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,752.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,780.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,752.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,744.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,792.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,797.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,738.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,757.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,761.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,703.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,809.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,749.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,722.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,758.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,756.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,712.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,769.0,10,0
/home/matt/Documents/bench/GSET/set/G018,2,1.4408082979315253,16.68100537200059,kuramoto,751.0,10,0
