graph,blocks,epoch,bandwidth,solver,cut,k,bits
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,975.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,976.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,963.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,979.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,978.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,978.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,957.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,979.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,965.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,980.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,983.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,955.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,979.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,962.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,962.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,960.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,973.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,954.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,962.0,1,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,981.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,974.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,971.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,978.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,985.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,969.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,988.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,968.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,982.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,982.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,969.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,987.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,981.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,977.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,975.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,985.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,975.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,964.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,968.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,984.0,2,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,975.0,5,0
/home/matt/Documents/bench/GSET/set/G018,4,0.024034130957818797,1000.0,kuramoto,987.0,5,0
