graph,blocks,epoch,bandwidth,ene_brim_mean,ene_km_mean,ene_brim_std,ene_km_std
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,-3981.60009765625,-3917.60009765625,16.912845611572266,42.90348434448242
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,-3982.400146484375,-3909.0,22.14698028564453,56.40528106689453
/home/matt/Documents/bench/GSET/set/G001,8,0.024034130957818797,1000.0,-3976.199951171875,-3915.800048828125,41.94652557373047,50.230133056640625
/home/matt/Documents/bench/GSET/set/G001,2,0.03936535184792128,610.5402296585327,-3989.60009765625,-3929.0,49.86919403076172,59.196449279785156
/home/matt/Documents/bench/GSET/set/G001,4,0.03936535184792128,610.5402296585327,-3982.400146484375,-3934.199951171875,39.178226470947266,43.89330291748047
/home/matt/Documents/bench/GSET/set/G001,8,0.03936535184792128,610.5402296585327,-4002.199951171875,-3916.800048828125,41.54197692871094,59.60016632080078
/home/matt/Documents/bench/GSET/set/G001,2,0.06447626206374275,372.7593720314942,-3971.800048828125,-3947.400146484375,34.64678955078125,33.981040954589844
/home/matt/Documents/bench/GSET/set/G001,4,0.06447626206374275,372.7593720314942,-3988.0,-3959.800048828125,40.955265045166016,39.837982177734375
/home/matt/Documents/bench/GSET/set/G001,8,0.06447626206374275,372.7593720314942,-3991.60009765625,-3924.800048828125,39.15553283691406,61.087913513183594
/home/matt/Documents/bench/GSET/set/G001,2,0.10560526388212535,227.58459260747887,-3969.400146484375,-3939.400146484375,37.31011199951172,63.414329528808594
/home/matt/Documents/bench/GSET/set/G001,4,0.10560526388212535,227.58459260747887,2968.400146484375,-3933.800048828125,11184.322265625,42.136802673339844
/home/matt/Documents/bench/GSET/set/G001,8,0.10560526388212535,227.58459260747887,19176.0,-3922.0,0.0,55.03937911987305
/home/matt/Documents/bench/GSET/set/G001,2,0.1729701971337565,138.94954943731375,-3969.400146484375,-3936.400146484375,34.98634719848633,44.897911071777344
/home/matt/Documents/bench/GSET/set/G001,4,0.1729701971337565,138.94954943731375,19176.0,-3871.800048828125,0.0,31.72732162475586
/home/matt/Documents/bench/GSET/set/G001,8,0.1729701971337565,138.94954943731375,19176.0,-3821.60009765625,0.0,72.09130096435547
/home/matt/Documents/bench/GSET/set/G001,2,0.28330679737598363,84.83428982440721,-3978.800048828125,-3699.400146484375,33.269264221191406,82.25731658935547
/home/matt/Documents/bench/GSET/set/G001,4,0.28330679737598363,84.83428982440721,19176.0,-2692.0,0.0,108.51728057861328
/home/matt/Documents/bench/GSET/set/G001,8,0.28330679737598363,84.83428982440721,19176.0,-2102.800048828125,0.0,128.5654296875
/home/matt/Documents/bench/GSET/set/G001,2,0.46402642055943366,51.794746792312125,-3960.199951171875,-3723.199951171875,17.54863739013672,45.54069519042969
/home/matt/Documents/bench/GSET/set/G001,4,0.46402642055943366,51.794746792312125,19176.0,-3177.199951171875,0.0,99.67146301269531
/home/matt/Documents/bench/GSET/set/G001,8,0.46402642055943366,51.794746792312125,19176.0,-2743.60009765625,0.0,160.5872344970703
/home/matt/Documents/bench/GSET/set/G001,2,0.7600259540947164,31.622776601683793,-3956.400146484375,-3002.199951171875,18.8985595703125,82.88386535644531
/home/matt/Documents/bench/GSET/set/G001,4,0.7600259540947164,31.622776601683793,19176.0,-1931.800048828125,0.0,163.5860595703125
/home/matt/Documents/bench/GSET/set/G001,8,0.7600259540947164,31.622776601683793,19176.0,-1259.4000244140625,0.0,181.85475158691406
/home/matt/Documents/bench/GSET/set/G001,2,1.2448417273334944,19.306977288832506,-3949.60009765625,-2631.60009765625,58.55140686035156,151.81216430664062
/home/matt/Documents/bench/GSET/set/G001,4,1.2448417273334944,19.306977288832506,19176.0,-1497.0,0.0,108.34616088867188
/home/matt/Documents/bench/GSET/set/G001,8,1.2448417273334944,19.306977288832506,19176.0,-1114.2000732421875,0.0,77.87997436523438
/home/matt/Documents/bench/GSET/set/G001,2,2.038918431353357,11.787686347935878,-3904.0,-2093.800048828125,47.76795959472656,95.314453125
/home/matt/Documents/bench/GSET/set/G001,4,2.038918431353357,11.787686347935878,19176.0,-846.0,0.0,202.53065490722656
/home/matt/Documents/bench/GSET/set/G001,8,2.038918431353357,11.787686347935878,19176.0,-482.20001220703125,0.0,143.89332580566406
/home/matt/Documents/bench/GSET/set/G001,2,3.3395316677063165,7.196856730011521,-3312.800048828125,-1921.2000732421875,321.42352294921875,143.5369110107422
/home/matt/Documents/bench/GSET/set/G001,4,3.3395316677063165,7.196856730011521,19176.0,-934.4000244140625,0.0,142.53826904296875
/home/matt/Documents/bench/GSET/set/G001,8,3.3395316677063165,7.196856730011521,19176.0,-380.8000183105469,0.0,102.7886734008789
/home/matt/Documents/bench/GSET/set/G001,2,5.469797902709988,4.39397056076079,-2480.199951171875,-2024.4000244140625,451.8794860839844,176.07272338867188
/home/matt/Documents/bench/GSET/set/G001,4,5.469797902709988,4.39397056076079,19176.0,-892.2000122070312,0.0,176.01123046875
/home/matt/Documents/bench/GSET/set/G001,8,5.469797902709988,4.39397056076079,19176.0,-459.0,0.0,161.82089233398438
/home/matt/Documents/bench/GSET/set/G001,2,8.95894756315922,2.6826957952797272,-2547.400146484375,-2100.60009765625,252.33322143554688,152.8980712890625
/home/matt/Documents/bench/GSET/set/G001,4,8.95894756315922,2.6826957952797272,19156.599609375,-845.4000244140625,61.3482780456543,183.8527069091797
/home/matt/Documents/bench/GSET/set/G001,8,8.95894756315922,2.6826957952797272,19176.0,-432.3999938964844,0.0,179.61143493652344
